"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"1","Adelie","Torgersen",39.1,18.7,181,3750,"male",2007
"2","Adelie","Torgersen",39.5,17.4,186,3800,"female",2007
"3","Adelie","Torgersen",40.3,18,195,3250,"female",2007
"4","Adelie","Torgersen",NA,NA,NA,NA,NA,2007
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"6","Adelie","Torgersen",39.3,20.6,190,3650,"male",2007
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"8","Adelie","Torgersen",39.2,19.6,195,4675,"male",2007
"9","Adelie","Torgersen",34.1,18.1,193,3475,NA,2007
"10","Adelie","Torgersen",42,20.2,190,4250,NA,2007
"11","Adelie","Torgersen",37.8,17.1,186,3300,NA,2007
"12","Adelie","Torgersen",37.8,17.3,180,3700,NA,2007
"13","Adelie","Torgersen",41.1,17.6,182,3200,"female",2007
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"15","Adelie","Torgersen",34.6,21.1,198,4400,"male",2007
"16","Adelie","Torgersen",36.6,17.8,185,3700,"female",2007
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"18","Adelie","Torgersen",42.5,20.7,197,4500,"male",2007
"19","Adelie","Torgersen",34.4,18.4,184,3325,"female",2007
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"21","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"22","Adelie","Biscoe",37.7,18.7,180,3600,"male",2007
"23","Adelie","Biscoe",35.9,19.2,189,3800,"female",2007
"24","Adelie","Biscoe",38.2,18.1,185,3950,"male",2007
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"26","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"27","Adelie","Biscoe",40.6,18.6,183,3550,"male",2007
"28","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"29","Adelie","Biscoe",37.9,18.6,172,3150,"female",2007
"30","Adelie","Biscoe",40.5,18.9,180,3950,"male",2007
"31","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"32","Adelie","Dream",37.2,18.1,178,3900,"male",2007
"33","Adelie","Dream",39.5,17.8,188,3300,"female",2007
"34","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"35","Adelie","Dream",36.4,17,195,3325,"female",2007
"36","Adelie","Dream",39.2,21.1,196,4150,"male",2007
"37","Adelie","Dream",38.8,20,190,3950,"male",2007
"38","Adelie","Dream",42.2,18.5,180,3550,"female",2007
"39","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"40","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"41","Adelie","Dream",36.5,18,182,3150,"female",2007
"42","Adelie","Dream",40.8,18.4,195,3900,"male",2007
"43","Adelie","Dream",36,18.5,186,3100,"female",2007
"44","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"45","Adelie","Dream",37,16.9,185,3000,"female",2007
"46","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"47","Adelie","Dream",41.1,19,182,3425,"male",2007
"48","Adelie","Dream",37.5,18.9,179,2975,NA,2007
"49","Adelie","Dream",36,17.9,190,3450,"female",2007
"50","Adelie","Dream",42.3,21.2,191,4150,"male",2007
"51","Adelie","Biscoe",39.6,17.7,186,3500,"female",2008
"52","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"53","Adelie","Biscoe",35,17.9,190,3450,"female",2008
"54","Adelie","Biscoe",42,19.5,200,4050,"male",2008
"55","Adelie","Biscoe",34.5,18.1,187,2900,"female",2008
"56","Adelie","Biscoe",41.4,18.6,191,3700,"male",2008
"57","Adelie","Biscoe",39,17.5,186,3550,"female",2008
"58","Adelie","Biscoe",40.6,18.8,193,3800,"male",2008
"59","Adelie","Biscoe",36.5,16.6,181,2850,"female",2008
"60","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"61","Adelie","Biscoe",35.7,16.9,185,3150,"female",2008
"62","Adelie","Biscoe",41.3,21.1,195,4400,"male",2008
"63","Adelie","Biscoe",37.6,17,185,3600,"female",2008
"64","Adelie","Biscoe",41.1,18.2,192,4050,"male",2008
"65","Adelie","Biscoe",36.4,17.1,184,2850,"female",2008
"66","Adelie","Biscoe",41.6,18,192,3950,"male",2008
"67","Adelie","Biscoe",35.5,16.2,195,3350,"female",2008
"68","Adelie","Biscoe",41.1,19.1,188,4100,"male",2008
"69","Adelie","Torgersen",35.9,16.6,190,3050,"female",2008
"70","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"71","Adelie","Torgersen",33.5,19,190,3600,"female",2008
"72","Adelie","Torgersen",39.7,18.4,190,3900,"male",2008
"73","Adelie","Torgersen",39.6,17.2,196,3550,"female",2008
"74","Adelie","Torgersen",45.8,18.9,197,4150,"male",2008
"75","Adelie","Torgersen",35.5,17.5,190,3700,"female",2008
"76","Adelie","Torgersen",42.8,18.5,195,4250,"male",2008
"77","Adelie","Torgersen",40.9,16.8,191,3700,"female",2008
"78","Adelie","Torgersen",37.2,19.4,184,3900,"male",2008
"79","Adelie","Torgersen",36.2,16.1,187,3550,"female",2008
"80","Adelie","Torgersen",42.1,19.1,195,4000,"male",2008
"81","Adelie","Torgersen",34.6,17.2,189,3200,"female",2008
"82","Adelie","Torgersen",42.9,17.6,196,4700,"male",2008
"83","Adelie","Torgersen",36.7,18.8,187,3800,"female",2008
"84","Adelie","Torgersen",35.1,19.4,193,4200,"male",2008
